1st,2nd,3rd
9103,5807,2858
7073,5702,8988
7922,4413,0498
7692,1116,4020
6410,7568,4603
6264,3099,4647
1015,6379,2743
6179,4328,0127
1871,6327,3263
2238,8524,9415
9618,4822,1611
8441,1988,4296
2197,1126,6142
3996,9931,6122
9990,2150,2638
7657,6085,1937
9407,4613,1646
2274,3942,3346
3459,0979,5855
5344,7569,5505
6287,3792,8571
2915,7546,5612
2635,8428,2775
9607,4593,7593
1487,7529,8575
0797,9695,6327
9036,8641,1574
3428,6302,1015
4353,5221,2316
2966,7726,4062
3452,8907,2755
7029,3078,8161
2363,2171,4121
1575,0671,0644
9820,7067,0678
9471,0012,0587
8598,1665,2261
5158,9688,4628
2034,0924,8681
1167,8815,5105
5751,9537,0995
7497,6290,5158
1664,1874,4387
8586,0770,3267
9843,7468,0709
0192,0720,5987
5372,0761,6603
8022,7847,4758
4943,8375,6283
0709,9261,6083
2334,9815,5938
7462,7216,4699
1849,3436,0445
0079,8237,5451
4529,5340,2586
3713,9807,7908
5170,4443,9444
9756,2374,5820
7754,6445,4129
9506,4444,8991
0093,9392,6939
1395,2858,7604
9563,1410,0478
4471,2435,2016
1971,5192,8151
7343,0646,3178
7568,3817,1378
4726,8413,7714
5014,8833,3318
1071,1805,1352
4975,5759,9734
2454,5021,9411
6892,3216,2232
4573,4651,4635
2789,0790,2330
3915,9758,8795
5939,9045,9675
3472,0078,9403
7329,7113,9482
6005,7206,3001
7286,4221,6842
7460,3855,4493
3769,1054,0780
4536,5977,7372
5815,0852,6753
9966,8528,9222
7059,8469,7543
1505,3607,4598
9221,5710,5257
5100,2802,5218
1037,7613,1583
6323,5199,1721
5668,9412,8428
3680,1767,9839
4846,1399,4808
5337,9533,0596
0362,7050,5070
8662,4929,7388
6335,0755,5600
4246,9878,9814
4695,5165,2674
6502,9482,6645
7558,4564,3645
8203,7715,9507
3830,9956,5699
9864,5510,1690
2167,1654,8418
4306,4118,1517
7956,1728,2558
9985,4287,3587
5178,7109,9112
3203,4666,7953
4140,2504,0725
0680,8160,3204
5118,1131,4608
6393,8258,7800
6143,8642,5185
1623,7362,2726
0267,3556,0712
3975,3564,8894
6014,1196,6511
3849,0025,4832
8672,0338,8694
5192,2442,9935
1304,2868,4032
0346,3267,9949
8493,5377,3962
1539,0674,1456
7913,7208,0572
3889,1111,2700
5239,5473,9796
0660,6849,3012
0314,8661,4972
6603,6883,3774
7909,8986,1446
6667,5788,1157
0205,1116,5611
4522,2150,5494
9808,3138,0829
5880,4706,4324
4793,8270,6937
5869,0157,6900
1603,0759,6072
5291,0920,1183
3107,0955,9409
2195,5648,2205
9446,7832,8048
6040,1056,8449
1620,6455,8361
4153,5599,0262
8435,5855,6196
2285,9134,4277
2264,7273,1872
2984,4597,0040
3540,4900,3136
9758,1736,7033
2734,5232,1006
3095,8897,2315
5527,5926,2690
1410,2077,4060
7598,0278,1202
8549,2044,6804
3666,7952,9593
8965,4582,1411
8859,2360,7264
0198,9511,2359
9732,7673,3867
4880,9180,2245
2521,1903,4419
0969,2303,2064
9162,0524,1492
2454,2942,3726
7090,2107,8776
4006,3636,0358
4890,4422,6515
6424,3376,0316
7111,7350,4673
6006,3441,3004
0636,0110,4132
8968,8794,8765
3631,4786,7599
1615,3080,2201
7926,2017,9575
1812,5593,4089
8631,7233,7372
6044,9264,6404
0349,2897,6271
7003,2311,7997
8722,6661,5946
0712,4726,3038
2839,6734,9391
0989,2193,1866
0799,5571,7255
0233,6529,3041
7215,3222,1844
4579,8595,5907
5527,8489,6779
6781,3014,2708
4026,3257,1627
3929,9973,0574
7600,6854,9668
8481,6263,9703
0007,2434,9461
4566,3163,2169
6821,4813,9899
9635,8051,4844
1644,7558,4038
7533,0649,6377
7548,6948,6369
3265,4144,4987
4343,7265,3925
2566,9611,2949
9637,5580,8865
1402,1465,1052
6917,0483,4906
6173,4152,0587
9373,9841,0398
7504,4800,2296
0267,8327,9179
2781,8755,7975
6777,7302,0454
9330,0089,6649
3648,8963,1000
7935,2195,6306
1830,5782,3057
5773,5954,0645
7951,2275,9473
2645,8023,1130
4181,6236,5820
7242,2402,1406
3872,6638,5015
0644,7983,9991
4816,7372,0473
8576,6358,4024
2687,3237,4904
0118,8456,5125
9444,8116,9313
9013,3952,7290
2540,8359,5892
5843,8319,9116
6182,9279,6392
1065,1246,9744
4687,1657,4887
3231,7966,6007
0381,4170,4669
0077,0094,1067
3508,4252,2249
0408,8160,3118
3150,4838,5648
2821,8088,7816
6384,7692,0141
0358,3535,1242
3357,1213,0136
6881,9207,3313
4422,9196,7230
1176,3627,0888
7440,4496,0444
4111,7316,5190
9410,7426,0522
4226,4284,9801
1307,2771,7925
7363,0472,3587
4297,7094,8095
3491,1321,6292
5291,7928,9979
1363,5772,1590
5945,4844,0216
9231,5641,5713
3016,9165,4464
7699,6965,9696
5208,1994,6473
7998,7500,4309
0978,4116,7141
2086,3576,0150
5183,1736,9851
0553,6165,4588
2317,6090,4327
6085,5887,1969
7159,2899,5431
0939,5713,7380
6673,8365,9883
8041,3683,5263
7297,2892,3889
0322,9369,4487
0559,3126,7351
6387,4800,9612
7136,9136,6619
4968,3380,2876
9947,2298,5022
0477,2425,6864
4155,5830,0059
4794,2676,0728
0070,8936,0838
0991,9503,4941
1388,9654,0659
9307,3851,4075
2794,4391,8743
0771,9804,7998
3396,7675,0670
9632,4137,0126
6669,0874,9959
8530,1171,6205
3064,1566,2835
5639,5022,3020
7946,8666,0186
0121,6756,4030
8892,8338,2997
1560,5125,5154
9060,2493,0604
2884,4359,0112
9869,2583,0323
6458,5793,1330
9846,4393,5943
1924,2070,8761
7668,2648,5445
7045,6277,5141
0707,3461,1045
9923,1460,8763
7840,3157,8005
1229,0656,7826
6703,6261,9062
3589,6619,0322
7925,6830,0102
8391,5222,7286
6792,6496,7066
5538,8861,9543
0100,1283,1905
8819,7441,0708
8594,4787,5247
9031,5659,6244
6254,4094,2044
9446,5914,3024
9593,1672,3642
0458,1807,6153
9191,2940,6005
5697,1131,9949
0014,0899,7208
0461,5773,5535
2790,1298,0578
2134,6344,3226
8430,0185,6459
8766,1329,8156
8970,4048,4145
6270,5194,0790
2726,7220,5472
4810,6143,7968
7319,6104,8085
7732,6270,5405
5599,1241,2625
1998,2700,7791
4647,8884,2701
2312,3548,4805
0036,3487,3234
9669,8022,7001
1974,5597,9937
4109,6931,9337
8943,5364,1306
8857,5809,6395
6016,4314,2901
0414,3933,5044
3033,5998,0659
7959,9210,5212
2523,6821,0444
3619,5763,8405
6454,9284,0139
7267,2628,1636
5094,4887,8846
7821,8833,7874
4864,5714,6157
9129,6295,1557
9421,4628,4647
4713,3731,5873
0927,2068,7595
4744,0363,1825
7641,1382,5932
4451,8976,5639
5632,5119,3851
0615,6916,7240
9723,4021,5847
4753,3727,3243
6045,0112,5018
0712,2335,2454
3691,5626,2607
2921,9643,7316
5914,0709,3807
7733,4678,5369
7507,5873,7753
9600,6386,3149
5223,0443,4833
4711,9237,0331
6408,8546,5329
4062,6799,8340
2795,0067,7800
4376,3399,9707
7906,8163,4677
2385,0171,0097
3487,4725,0230
7775,3888,2529
2345,8613,1142
8843,7796,4050
9973,0752,5607
2392,8621,1478
0629,5029,6370
6025,1548,1497
1056,4976,9208
9893,3371,0115
1843,7757,9072
3534,4879,1457
0212,5241,9352
9433,7132,3352
7153,4598,1997
1985,8709,8895
7310,6844,5175
9178,3384,0488
6854,6468,1417
7494,4629,2295
9846,6770,7767
4246,1874,7459
8026,7724,8099
2537,7495,5849
5384,1059,1333
1049,6758,4510
5812,9706,5937
6166,9973,0762
6239,2539,5625
5599,7599,7050
9003,5140,0948
0059,9373,3387
1197,3029,0284
0326,0200,8064
3785,8729,5337
7359,1054,2123
3359,7749,2577
1728,9615,1862
2387,7818,6170
6149,4026,2384
5959,2137,6665
4935,3313,5730
4615,9835,5237
1273,1455,4202
2989,3640,0036
3582,2515,5699
9468,2463,0410
0140,5169,9599
5468,8183,0427
4800,2593,9503
4416,4375,1670
6068,1020,8345
7386,0728,4107
9983,0860,6411
4843,9982,3904
6186,4059,1077
4311,4325,3888
5478,3376,1881
3912,2393,4583
6542,9124,8830
6411,7297,7372
2709,6531,7589
4786,6667,5764
6967,9094,0961
3322,0810,5781
7602,3987,0353
4014,2140,7477
4537,5245,2543
7362,9756,6197
0483,4383,4204
9193,4890,0984
8019,3504,9347
9232,0007,7471
4456,2167,7027
9031,8247,2587
6421,3238,7870
0119,7841,8278
0162,0715,2722
6543,9648,4134
8744,4719,9362
2106,1711,1021
9396,6831,5083
5315,9363,1824
3575,7085,0197
8481,4833,8548
2464,0818,5442
9915,3711,6082
4975,8070,5395
2607,5062,7734
7155,3912,1169
9182,4201,2429
5858,5640,6758
7201,2994,8129
5832,3623,2328
9795,0828,6776
2461,9860,6347
6934,7135,6447
2848,8145,2817
7178,1417,9434
2612,3788,9403
9465,4517,7545
3775,6355,8194
5557,4342,2870
5065,8279,2892
8904,6705,0948
5875,8844,5211
6504,5697,1245
0303,2380,0255
5124,9788,5297
3575,7251,4959
5306,4895,5002
9168,0600,7775
4439,1670,2456
9735,2892,7394
1815,8805,8347
0385,0991,4835
7308,8585,9585
8558,0032,7982
7883,5046,7972
4863,2988,1032
4180,9310,4791
1469,2610,4211
6059,7985,0905
5698,3438,5188
1433,1766,1017
5031,1278,8838
9364,5744,7266
9658,1256,4760
4693,4157,8443
9328,7009,3168
4464,0857,3447
1849,2264,0547
0259,7945,7379
2243,5146,1480
2529,1667,9173
9289,0273,9248
5850,0697,0231
0467,4572,0915
8237,2091,8774
5065,6110,1995
3326,6431,8964
2200,4072,9339
6355,0081,2720
9782,8095,0707
4717,3390,8385
4132,2074,4112
5135,1009,2503
7787,5987,4853
2576,5819,5858
5042,0049,6410
5263,0294,2089
4325,3353,0348
3826,0681,6206
4710,2812,2225
5146,6526,2816
0622,4091,5856
2879,9977,3199
7440,8047,6260
9243,7874,4063
2005,3158,5628
6173,4471,6309
0257,2147,4725
6846,7173,8531
2192,5443,4579
4347,3986,0739
7417,7458,8035
5243,4234,5223
5621,9958,1800
0315,6407,7581
5247,8075,4323
8026,1171,0889
5212,7628,5184
8520,8151,6581
9356,4222,6963
5140,2325,2826
0062,6456,6635
1339,4069,3498
9874,8535,5978
6641,7797,0128
1058,6496,9743
2248,6785,0267
9068,4849,8708
8388,6023,7226
4715,6352,8832
8095,2907,4027
9717,5283,4696
8311,5389,1102
2725,3721,6034
1354,2292,5922
3390,3694,1623
5113,0370,0593
3717,1102,5394
2735,0429,2099
8212,1363,1668
2770,0846,5539
6353,0499,2779
4615,9371,8693
9982,3312,2680
6624,6655,1666
8385,5664,9427
8137,8649,1565
2753,4681,5936
9550,4289,6115
2079,3092,3917
3771,6399,2463
5475,9934,7565
5685,9280,6472
2654,8656,1573
0639,4043,6682
4971,1009,3078
2511,2352,2974
3078,4072,7391
5313,0958,9009
0078,2952,2295
2548,0413,0456
2244,2218,9274
6910,3858,4953
6312,0045,7500
7209,6152,9809
2853,9998,3324
8875,5195,4851
6090,6179,5934
7841,4609,5940
1737,4191,3270
0536,1426,8050
3323,2098,8123
9928,5771,8838
3967,8118,3622
1360,3018,2830
3303,2772,7062
6060,5575,6053
9880,5165,9233
9507,0357,7044
2566,1288,7650
0735,6569,8947
9825,8534,3274
2798,6203,8362
5156,1081,2167
4813,8003,7553
6154,8496,7078
2012,6437,8094
1967,9820,1348
8028,9715,7801
8340,3621,6847
9238,6995,2969
7857,3400,7804
7343,4129,8378
9165,8000,5428
6070,8161,9337
8274,3734,7993
8906,7043,5360
5157,4319,0175
0071,4349,7943
4662,6059,7451
7048,3266,0825
8671,3658,0173
1804,6991,5793
6684,6297,5893
4996,0527,8603
6451,5139,9615
0269,3022,1830
9320,6023,5265
3171,8671,5043
8249,9218,3427
1522,6814,3674
8130,5504,7321
7807,7529,3130
8773,0670,8319
2835,0779,9407
0838,1829,5853
8629,9498,9131
3076,8086,0733
9956,4362,8789
3139,1779,1622
2864,8020,3194
9473,5860,6140
8908,0371,3103
4264,9786,1346
7173,9999,9268
1098,8094,1214
6408,4097,2073
7079,5687,1348
3861,7266,9396
3504,6727,0408
2003,0691,2806
2113,5281,3550
0522,6069,5530
1143,3080,2053
9601,5146,8192
3346,2837,4697
5199,9616,3644
7708,7660,8040
0867,1685,1516
9129,6954,2000
2557,7299,2245
1064,7026,6960
3713,4883,1481
1756,3451,8705
4010,6641,8924
6493,9707,9268
8315,7494,7474
6581,9102,5839
7848,0174,3904
8771,6500,9594
1617,6480,3370
9116,4495,5531
6136,1054,8801
5046,5025,8860
0562,0844,9408
0091,0474,3791
0757,7567,0527
3940,0546,1454
5031,6015,7892
3162,2587,2521
9100,1458,1758
7917,2263,5848
0055,1431,6014
1933,8072,2872
1959,2179,6205
5808,9754,5949
7835,8369,9681
9442,9574,5020
2931,3305,5522
0835,3529,2200
8142,4772,8147
3013,2901,8547
5735,0440,4664
3623,3103,2182
3563,3642,5777
9236,2580,2278
4809,3497,6989
3013,0506,9152
6113,7118,1471
8988,5099,6640
8619,1377,1186
7190,1914,0477
8083,8017,0757
4828,7898,9482
7774,7287,3381
6956,3439,7365
0473,2877,1928
4337,4976,6290
2870,1564,0034
5031,7372,6142
7226,7678,6545
6591,6215,2854
6871,6650,2965
9924,4156,0118
9878,1355,4613
9815,5825,2710
2498,9373,8966
1106,4368,5625
3683,8696,3426
8980,7496,4860
6989,3652,9769
8176,3013,7860
3269,8231,3282
6002,2160,3524
0218,9868,3401
7308,2266,4111
8637,0483,0002
1047,0004,8835
2470,3657,5785
2784,1651,9613
1540,3829,5838
7943,6994,0884
2475,0888,5089
3081,2987,6145
7681,5325,5478
7605,8269,6164
4118,0996,2939
0042,1588,6406
0654,8989,6489
9532,3527,2917
5481,9961,9571
5871,0850,3512
8818,4399,9906
5168,8975,8485
3639,5327,8656
4501,1488,1108
8781,4200,3042
2545,1797,3604
9471,6131,0529
8325,6170,1505
7715,0060,5405
5498,2260,6308
1060,9098,1017
6571,0043,7465
6432,3241,4432
5521,0912,6489
2826,0311,5825
1994,5890,8494
8369,5538,7728
9553,3786,2902
4183,1934,3482
7626,4116,7648
4871,2968,5129
1695,6638,8269
5713,5639,9048
5265,4534,1406
8967,9672,6722
3846,8581,8446
4309,6587,8286
2311,3461,1965
7339,7033,3770
2653,5576,4102
8163,9003,5647
5526,0940,2005
6912,6871,5393
6202,1191,7574
6897,8137,6247
9252,2891,1837
6287,6871,2368
5518,3402,1232
2964,1622,0329
4591,2115,6692
0865,5928,6048
2081,0512,7086
0396,2150,2431
6913,7637,3949
6859,0560,5005
6002,9313,5208
9739,3455,7919
0686,0214,3256
6373,9884,5457
6936,3993,1423
8938,6657,1242
2354,3343,7831
5766,3203,5932
0232,3096,3267
7912,7706,0938
3976,2585,3595
1301,1890,2298
1625,3546,2099
7414,5749,2093
3691,1077,0891
1253,7879,3178
1630,1624,0772
0292,1519,0570
8161,2817,0014
4167,3874,6889
7274,1115,1214
4803,5338,1814
4680,0093,4844
8529,1150,9311
3804,3090,6124
1903,3634,2018
3181,2378,3574
4403,6528,0708
1159,6386,7272
9707,3581,1856
9510,9249,3475
2041,8422,7284
5633,3646,1640
5285,0977,0775
4199,2416,1424
4084,9133,4763
5278,0672,2363
5740,3221,2653
4297,7312,1672
3497,3933,6839
3742,0862,2678
6974,8296,3359
1510,3813,2877
8065,2453,6958
5442,2057,8817
5447,3271,4348
1209,0505,2135
0880,1532,9815
8421,6495,6274
8439,6078,9771
1737,5771,3758
0572,2304,7024
3061,9717,6002
5550,6864,5284
2875,9406,4901
9677,3912,2739
4185,2622,4140
4324,3955,7620
5318,9049,0104
8506,4065,6281
5535,6345,6465
6529,5965,2832
1863,3316,0918
1761,4814,1648
4281,3577,1519
2093,6311,9673
5161,6108,2355
8696,5573,4760
7511,6740,8342
9903,1051,2658
3261,0651,8793
8431,8617,8086
3444,9074,6852
6038,2094,4733
7915,1688,9850
6780,7944,1459
0688,0459,6398
7452,1316,1363
5769,0041,2121
4432,9725,4597
7127,6211,6188
5347,0930,2484
5274,6293,2815
8282,4962,1405
1640,9825,3033
6167,5557,9082
1621,1401,7652
5597,5262,1052
0939,5409,1015
8579,6964,4144
6279,0050,4774
1042,5094,6897
9438,6616,1693
6674,3299,5200
7113,6495,1640
7350,5355,3353
7338,7494,4897
6398,7681,5319
2329,6778,7813
1596,6456,4866
3134,2635,1396
5555,6931,8241
5451,3753,6058
0267,2202,0822
5917,2345,5488
6821,1202,6611
0373,4009,4476
6187,3862,7857
4045,3297,3273
1036,8527,1800
3220,2518,9759
4546,3849,1338
3141,0764,5780
3961,3997,7091
6979,3714,6560
2588,7461,8328
5639,3568,4022
1390,8937,3445
4950,2714,3114
3193,7533,6575
1490,4593,8883
3851,2532,3256
0325,7039,6313
0779,7861,9484
0214,7998,2237
4889,8082,5167
8113,3130,4671
2617,9074,5390
1646,8122,3185
4293,2583,4336
3412,5461,8450
3896,5542,0926
2713,0962,9043
3615,0474,5912
2960,3641,4192
2811,3537,8935
2824,3448,7174
7832,4935,9146
6741,6176,5598
9479,5527,1514
7451,9054,6184
6285,0987,1533
2933,8982,7098
5066,7143,7871
1996,8449,7430
3270,2205,6942
9902,1820,6150
6302,7111,3055
7936,3467,5205
5188,2406,4906
5260,0909,2811
6301,8195,3781
6616,5569,5330
7171,8641,6036
3365,8744,2350
1548,9745,8135
5218,4806,8089
5065,9811,8430
9991,5566,3724
8336,8197,3181
8092,6727,7683
0353,9501,6230
4996,5552,5325
3170,0138,8446
7963,3539,9035
5575,9905,3292
8813,8754,1193
7319,0045,6700
1433,1722,9909
0883,7285,9745
8327,0867,4461
8502,2416,8110
2791,8596,2998
5064,2018,1835
4224,1920,4335
9116,2936,3929
5536,4198,5703
1523,6543,7651
9076,8019,8837
8583,4001,0058
3652,4530,9336
9553,9035,7596
3160,1933,9394
9028,6901,1669
7600,7479,9897
9556,5091,5211
4705,6214,2988
6174,2795,6104
4275,1521,9828
0569,8417,9002
5192,1628,8299
5448,9252,6892
0491,3883,7361
9404,6936,2029
5908,8077,5734
3329,8538,6566
6487,6688,4728
5637,2792,8546
0820,0467,6793
7748,6511,1165
4949,0056,0794
8513,0589,4384
6220,2056,9418
0780,0022,0387
6343,7666,6665
6877,9305,7716
1511,2576,4865
9376,3584,6135
2552,1448,3488
3080,7987,4797
3372,1101,6722
2426,5879,9474
5561,9598,3649
4734,4357,3475
6280,0689,8129
9970,1612,5616
7222,3543,9514
7930,2699,4778
9903,8285,9425
1918,6045,5259
9320,7307,6186
3522,3359,9236
0657,2131,0391
4991,9433,3994
3853,8498,6871
1121,4075,5786
9735,1356,1752
1941,7450,5727
2735,9943,0175
6506,5950,9179
3670,8168,4938
2693,4726,5447
0728,3815,0523
8865,3357,2121
6228,1400,9064
6908,9809,5272
9881,7183,6957
8761,6415,4891
9358,0725,5175
9396,3297,3432
3025,0589,7038
6589,6079,8752
8851,6454,5778
9572,0185,8231
5259,3889,2540
0651,2006,9897
9993,3915,4732
1165,3220,0032
6051,9823,6174
8736,0325,5245
9013,2676,7853
1581,4770,1929
0369,0944,6131
3901,6671,6037
8327,5538,5121
5073,7757,7977
4891,7269,9237
6524,6005,1093
0031,6718,2311
0853,2871,4748
8498,5600,4513
4928,6810,5681
8021,1435,7850
6530,5804,0758
2296,0063,5295
0240,0932,6145
0565,4693,2169
5068,5430,6454
6374,6612,8769
8097,1649,6495
5252,9535,2471
0831,0408,8904
3009,7167,9188
4593,6679,1959
7636,1344,8670
5801,6553,1750
4529,6284,5880
5758,3159,7794
3485,1918,5741
1491,8948,4589
1899,3298,0067
3660,0885,2932
0628,8686,1708
8586,3608,0568
4820,4127,2906
0681,7728,7199
4120,6345,7491
8682,7260,3872
9870,4503,4103
5032,1315,9085
3091,3992,8377
0195,7709,8036
9246,3514,7087
9284,9234,2057
0459,5483,6234
9898,7122,4571
1721,4991,5975
4635,0515,4670
6118,4413,6168
4762,6111,8991
6028,6516,1677
8844,7518,5213
0585,2406,1791
3393,6288,4762
6817,8725,2569
0085,6247,1820
6899,6118,4666
8376,5907,1671
7828,3341,3062
5785,2008,0640
6740,4219,7606
8423,5133,1151
4542,3239,1884
4344,4721,5832
0743,1998,2042
7674,8398,3205
7363,0992,9326
9178,1341,1494
7245,7243,9148
5896,0018,6200
2564,4390,4991
4347,9247,1651
5532,0934,6169
1055,7569,9624
7899,5410,8787
4818,8158,9541
3655,0428,2678
5950,4613,5646
5865,0190,1528
3852,8592,8504
9923,2904,0357
4877,8984,1621
3824,4791,9306
4302,7881,3327
7257,1402,3651
1507,2155,5121
1378,3364,8652
5167,9837,5111
0155,4279,5459
1508,1043,1328
3636,5861,3465
1363,7751,7365
6041,1506,5862
5519,4080,6840
8904,1332,0245
3714,1784,3784
0842,3408,9612
4274,9940,5931
6055,4595,3371
7012,6232,5355
4363,3500,8244
5940,2509,0225
9319,5166,4734
3815,1892,5586
3961,6903,3323
2708,2879,1084
3585,1814,4134
5540,7596,8177
0105,7597,9817
6879,6843,7968
6909,6206,3291
7129,7824,0150
3632,7135,0408
4577,0634,9175
0147,5372,6093
4408,0381,1028
2366,7168,3776
0941,6888,7568
8163,5334,9798
4925,2220,8285
2694,1730,8070
7446,0032,2823
9172,6317,5252
2331,2436,0111
3845,2887,4090
3840,2641,8226
4910,2529,6347
5584,6161,3887
1978,7382,6467
7673,5605,3355
6014,2456,4794
5393,1376,7759
2859,2649,8677
8589,3317,2433
9255,4412,7008
3928,2990,0126
6988,3835,5679
0106,4748,0409
5873,7744,8987
2766,2379,5796
2475,9374,5908
2712,9020,2690
8704,9979,0369
0003,9282,2467
2468,3123,9150
8272,7891,6058
1660,9965,9127
9481,3443,2375
8852,6518,1107
1599,4336,7343
3511,1891,8401
0086,3950,8686
8661,5648,2020
9488,7282,1093
0498,3849,5296
7802,5964,3981
9269,7132,3867
3808,8086,5480
6677,0838,2487
1386,2500,7138
6276,0346,4112
9478,4548,8745
2057,2842,9064
3064,6053,2645
6642,4692,0820
6737,7699,5776
1362,5413,4556
6574,9399,4560
3258,8568,9438
5334,6930,2861
7732,0029,6748
2844,9772,0364
7767,2060,1588
5841,6424,6464
5947,0087,5259
1462,5260,0951
4991,4943,6662
3919,8456,8583
9294,8531,7303
0669,5385,5768
6789,6374,9033
0366,2514,0225
6848,3551,2020
2049,7982,0305
2393,8463,4322
6979,4716,9780
7209,6882,7835
4839,1958,1991
5016,9327,0940
7474,2537,6725
5891,8075,6716
2534,8356,5450
9577,8426,6367
6500,6650,7512
3155,0540,1304
8295,8347,1864
5134,1088,2329
2352,2083,5120
7864,7273,2773
2711,2467,4943
7966,6208,1781
5406,0861,7492
3684,3167,9804
7590,5741,3442
7464,1738,4293
3878,0660,8506
5845,5986,4900
7329,7169,5382
2419,0467,9900
3644,2889,3055
5714,5325,9751
9968,7130,1900
3501,0134,0074
0538,9421,4994
0458,7211,8722
8927,9963,5913
4399,0254,0832
3478,4101,8382
3886,5706,4822
0743,3012,0441
5498,7225,1540
5203,7325,6773
0249,5543,7404
3930,6396,5045
0138,7908,9463
6356,4245,4139
5808,5802,7861
3196,7086,7401
9101,7107,7886
2910,2830,9028
2872,3818,4510
4402,2811,3094
8938,4426,9189
6846,6381,0101
0887,0744,3750
8429,8449,7368
6473,6572,4258
2763,5151,1451
2729,7339,7757
7646,0267,4182
1280,2315,6525
3935,0490,7097
7194,5710,1972
4089,1305,9100
2323,3927,2762
2108,7617,9276
1960,2754,4368
5745,0436,8567
2643,5526,9396
6745,7810,4172
9022,5740,4079
2854,9232,9468
8346,2215,3522
4845,3724,8037
9603,4936,9016
5210,4119,0197
6415,3835,7758
8794,5032,8640
3657,9188,0341
4607,2486,1745
2668,7337,5162
7432,0851,7408
2057,2916,2195
4585,7755,9212
7158,1214,0117
7615,9597,9563
5356,9322,2658
5273,0747,2016
9102,4690,2991
2838,6640,5566
7039,2883,9268
4046,4156,6052
9016,4094,0080
8965,8597,6198
8388,9393,6673
4749,1983,9747
7768,5026,8137
8281,4585,1445
5333,0171,4087
3601,5666,3301
5862,1669,7482
3807,4164,0269
3120,3540,5724
3595,7743,5236
7272,9597,8191
7696,5178,8051
0949,1644,7876
1934,1173,7104
6871,2000,1889
4824,5961,8841
5239,9491,8084
5322,2804,0818
2642,2682,8942
6862,2817,4428
8144,0136,6725
8269,7994,5945
2574,7419,8787
7848,1688,4578
8437,6778,9329
0289,3859,8425
1462,1484,9306
6362,1471,9014
9674,8141,2652
6040,7515,4766
3843,7848,1360
3141,2681,0787
3570,4460,2584
0756,7489,2069
4660,8598,6149
7082,5056,6750
1196,4081,9175
2585,7749,6620
3605,3011,5730
9030,9875,1846
6400,5907,8808
8975,6174,9267
2384,6150,8377
1998,1494,9014
2397,2302,5772
1767,0861,2508
9204,1413,4231
4350,3988,6443
0522,4606,6980
9424,0399,8144
5112,8325,5075
4254,3438,6734
5439,5427,9997
4463,4888,3099
9972,1117,8146
6316,2361,0034
6895,8617,3930
9511,7383,7758
9231,5575,8651
5537,9256,5592
6094,8734,0740
3209,3180,3841
8536,0045,1217
5843,2170,2630
3359,9696,2929
0094,7637,6953
7206,5199,3952
2337,4007,0240
5829,7390,3129
0304,7118,7846
8632,7422,5987
0304,9655,6140
8603,7618,4773
1637,5562,2749
9644,1106,2098
2276,7021,8470
2748,7450,3247
0870,6304,2476
8896,7756,4250
7556,7574,0400
2347,9678,5440
4154,6266,1602
8612,5203,6326
7677,7145,7371
3358,5828,2256
7205,2189,8830
9595,4934,5423
5629,7984,1080
8248,7567,3319
6775,5325,4288
1559,8875,7886
5000,1303,6113
5088,4470,1844
0167,5409,1914
4169,3064,7809
7143,2175,5019
9485,9075,9674
9494,3308,4030
9767,0249,8110
4036,6196,9561
3440,5127,9924
9971,2348,1263
4218,7090,7807
3877,6602,5121
5350,5859,6025
4506,2116,1390
3831,9826,6470
0819,0516,3105
7202,5033,2514
7035,4428,7335
6682,0136,2130
7168,0077,4965
2243,3431,9148
6839,7152,2844
4605,4989,3601
1824,5405,2354
4945,6031,5462
0935,7755,0377
7696,7054,1904
7549,9016,4207
9377,0516,0147
4540,1537,2740
8605,7316,9182
4878,5109,1151
4743,2590,3032
9324,5240,3080
6938,6009,1507
8870,7311,1367
0555,7060,4051
6888,3139,4397
2873,3393,4633
2038,1121,6711
4707,1867,0404
0008,8853,2374
6021,4508,8194
5859,2845,6615
7100,9238,0175
1648,5343,8038
7039,8996,7853
9413,9109,7991
6489,6256,7205
2010,4470,4291
1750,4671,2318
6804,3338,0356
9681,3165,8858
8938,3482,7749
7720,2038,8239
2091,6780,6867
4902,9802,5126
4225,5874,0919
4250,8661,2492
0355,8964,4483
5553,6862,1708
2546,1223,0999
7693,5238,3645
9831,4608,9746
1586,7362,2477
9754,6926,0276
3601,0329,3764
0307,8436,5975
2638,7764,1041
8809,3620,8593
2870,8401,5465
9617,3733,7737
9394,6602,4964
8503,1779,7185
2008,1586,1769
3246,0925,4448
2340,2912,6825
6125,8272,5681
9273,7179,1964
0388,2494,4024
4055,1622,5596
7449,3289,8744
3547,5992,8423
2900,7434,2334
2036,2329,4892
9165,9706,2751
6226,2148,3008
2102,5157,7751
9431,7264,6458
5998,5591,1321
8205,9134,1704
3750,0033,1613
0292,7884,5728
6476,8654,7789
6648,3519,2535
8063,5405,0019
9316,3151,0881
4137,8554,5253
9837,1523,0598
0076,5607,3463
8090,3160,6917
3305,6381,4292
1515,5833,7958
6585,0055,0477
7084,9941,9160
2035,8739,7735
2334,9754,3310
2632,7692,6346
6601,2764,7905
1861,0181,4827
4620,5924,0759
4781,6996,8442
5930,3041,8191
6540,6746,8880
8519,2726,1124
7181,2528,5315
6646,4683,0491
8939,8750,3250
2304,8271,9682
8717,2596,1723
4198,1821,2189
